"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08","WT09"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-07-30","4.1",,"0.0","0.0","0.0","22.3","28.3","16.7","  210","   40","7.2","8.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-07-31","3.8",,"0.0","0.0","0.0","23.8","30.0","18.9","  180","  210","6.7","8.5",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-08-01","3.6",,"0.0","0.0","0.0","25.8","31.1","20.6","  170","  170","7.2","8.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-08-02","3.3",,"0.3","0.0","0.0","24.8","29.4","21.7","  320","  320","13.4","16.1","    1",,"    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-08-03","3.4",,"0.0","0.0","0.0","24.1","28.3","20.0","  180","  180","7.2","8.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-08-04","5.2",,"1.5","0.0","0.0","24.9","28.3","22.8","  160","  160","8.9","11.2","    1",,"    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-08-05","5.7",,"6.9","0.0","0.0","24.7","27.8","21.7","  270","  260","10.3","13.4","    1",,"    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-08-06","5.5",,"0.0","0.0","0.0","22.8","26.7","18.9","  310","  310","8.9","11.6",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-08-07","3.2",,"9.9","0.0","0.0","21.0","22.2","18.9","  140","  130","7.2","8.9","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-08-08","3.8",,"0.0","0.0","0.0","21.9","27.8","18.9","  360","  350","8.1","10.3","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-08-09","3.4",,"0.0","0.0","0.0","23.6","28.3","18.3","  170","  180","6.3","7.6",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-08-10","3.1",,"0.0","0.0","0.0","23.4","27.8","19.4","  170","  170","7.2","8.1",,,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-08-11","4.5",,"0.0","0.0","0.0","23.3","27.2","19.4","  180","  170","8.1","9.8",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-08-12","3.4",,"5.3","0.0","0.0","21.9","25.6","18.3","  180","  180","7.6","8.9","    1",,"    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-08-13","3.6",,"0.0","0.0","0.0","25.4","30.6","21.7","  300","  330","7.2","9.8",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-08-14","3.3",,"0.0","0.0","0.0","24.4","27.2","20.0","  180","  180","6.3","7.2",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-08-15","2.6",,"11.2","0.0","0.0","22.7","24.4","20.0","  250","  250","5.4","6.3","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-08-16","3.0",,"0.0","0.0","0.0","25.2","31.1","21.1","  340","  340","7.2","8.9","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-08-17","4.0",,"0.0","0.0","0.0","23.9","26.7","20.6","  140","  130","6.7","8.1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-08-18","6.0",,"6.9","0.0","0.0","24.5","27.2","22.8","  190","  190","10.3","13.4","    1",,"    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-08-19","4.7",,"0.0","0.0","0.0","25.6","30.6","22.8","  240","  230","7.2","8.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-08-20","5.1",,"0.0","0.0","0.0","25.8","29.4","21.7","  320","  310","8.1","10.7",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-08-21","4.6",,"0.0","0.0","0.0","25.4","30.6","21.1","  180","  180","10.3","12.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-08-22","6.5",,"4.3","0.0","0.0","25.6","30.0","23.3","  180","  190","13.9","16.1","    1",,"    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-08-23","4.6",,"1.5","0.0","0.0","25.6","28.9","20.6","  280","  310","8.1","10.7","    1",,"    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-08-24","3.7",,"0.0","0.0","0.0","23.4","28.9","18.3","  270","  270","7.6","9.8",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-08-25","3.0",,"0.0","0.0","0.0","21.9","26.7","17.8","  360","  360","7.2","9.4",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-08-26","2.9",,"0.0","0.0","0.0","21.6","26.7","16.7","  180","  190","6.7","8.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-08-27","3.2",,"0.0","0.0","0.0","20.4","26.7","15.6","  110","  110","6.3","8.5",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-08-28","4.7",,"0.0","0.0","0.0","20.2","25.6","15.6","  100","  120","8.9","10.7",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-08-29","5.3",,"14.5","0.0","0.0","18.6","20.6","16.7","   50","   60","8.1","10.3","    1",,,,,,
